campsites,year
"BC(01/04),Intermed(5800m),ABC(10/04,6400m),C1(23/04,7000m),C2(10/05,7700m),C3(17/05,8300m),Smt(18/05)",2000
"BC(08/04,5300m),ABC(12/04,6400m),C1(16/04,7000m),C2(29/04,7800m),C3(16/05,8300m),Smt(17/05)",2000
"BC(06/04),ABC(11/04,6400m),C1(14/04,7050m),C2(13/05,7700m),C3(14/05,8300m),Smt(15,17,19/05)",2000
"BC(15/04),ABC(23/04,6400m),C1(7000m),C2(18/05,7800m),C3(19/05,8300m),Smt(21/05)",2000
"BC(17/04,5000m),ABC(19/04,6300m),C1(23/04,7000m),C2(29/04,7800m),C3(15/05,8300m),Smt(27/05)",2000
"BC(09/04),ABC(15/04,6400m),C1(19/04,7000m),C2(19/05,7700m),C3(21/05,8100m),Smt(22/05)",2001
"BC(01/04),ABC(19/04,5400m),C1(05/05,7400m),C2(06/05,7900m),Smt(22/05)",2001
"BC(12/04),ABC(16/04,6400m),C1(28/04,7000m),C2(21/05,7900m),C3(22/05,8250m),Smt(23/05)",2001
"BC(30/03),ABC(06/04),C1(08/04,7000m),C2(08/04,7500m),C3(18/05,8300m),Smt(19/05)",2001
"BC(05/04),ABC(12/04,6400m),C1(27/04,7000m),C2(07/05,7500m),C3(23/05,7900m),C4(24/05,8300m),Smt(25/05)",2001
"BC(09/04,4200m),ABC(14/04,6400m),C1(22/04,7000m),C2(30/04,7500m),C3(21/05,7900m),C4(22/05,8300m),Smt(23/05)",2001
"BC(09/04),ABC(16/04,6400m),C1(25/04,7100m),C2(26/04,7700m),C3(28/04,8300m),Smt(23/05)",2001
"BC(18/04),ABC(23/04,6400m),C1(03/05,7030m),C2(20/05,7700m),C3(21/05,8300m),Smt(22/05)",2001
"BC(10/04),ABC(19/04,6400m),C1(05/05,7000m),C2(20/05,7900m),C3(21/05,8300m),Smt(22-23/05)",2001
"BC(19/04,5200m),ABC(21/04,6400m),C1(24/04,7050m),C2(07/05,7800m),C3(22/05,8300m),Smt(23/05)",2001
"BC(09/04),ABC(16/04,6400m),C1(25/04,7100m),C2(26/04,7700m),C3(28/04,8300m),Smt(24/04)",2001
